iter	Passed	Remaining
0	172	172427
1	187	93794
2	198	66093
3	208	51893
4	216	43061
5	222	36903
6	229	32498
7	234	29138
8	240	26440
9	246	24452
10	252	22707
11	257	21202
12	264	20084
13	270	19020
14	274	18053
15	281	17312
16	286	16593
17	291	15926
18	298	15432
19	304	14927
20	312	14586
21	319	14194
22	327	13930
23	334	13606
24	339	13237
25	347	13011
26	352	12704
27	358	12428
28	363	12154
29	367	11889
30	373	11669
31	379	11465
32	384	11264
33	390	11098
34	398	10982
35	404	10843
36	411	10701
37	416	10531
38	422	10422
39	428	10280
40	433	10138
41	440	10057
42	446	9940
43	451	9810
44	458	9728
45	465	9650
46	471	9560
47	477	9461
48	481	9354
49	488	9273
50	493	9176
51	497	9075
52	505	9026
53	511	8969
54	519	8922
55	525	8859
56	530	8782
57	539	8764
58	546	8718
59	555	8698
60	561	8644
61	572	8661
62	578	8609
63	588	8602
64	595	8565
65	604	8556
66	612	8527
67	619	8496
68	626	8459
69	636	8456
70	641	8399
71	646	8338
72	654	8315
73	659	8258
74	667	8227
75	672	8178
76	678	8132
77	686	8111
78	691	8057
79	695	8001
80	703	7978
81	708	7926
82	714	7894
83	719	7848
84	724	7801
85	730	7767
86	736	7725
87	740	7679
88	747	7656
89	753	7615
90	758	7572
91	763	7539
92	770	7514
93	776	7486
94	784	7472
95	789	7435
96	797	7428
97	803	7396
98	817	7444
99	824	7416
100	832	7410
101	838	7379
102	846	7369
103	851	7335
104	856	7300
105	864	7293
106	869	7259
107	874	7225
108	882	7214
109	887	7183
110	895	7172
111	902	7157
112	912	7164
113	919	7146
114	928	7143
115	937	7143
116	947	7150
117	953	7130
118	962	7124
119	968	7104
120	977	7101
121	984	7087
122	991	7071
123	998	7051
124	1004	7029
125	1011	7014
126	1016	6988
127	1023	6970
128	1030	6954
129	1036	6935
130	1044	6926
131	1053	6926
132	1062	6929
133	1075	6949
134	1083	6944
135	1093	6946
136	1101	6937
137	1110	6939
138	1118	6929
139	1129	6941
140	1139	6941
141	1146	6927
142	1155	6925
143	1163	6918
144	1175	6928
145	1181	6910
146	1189	6902
147	1195	6884
148	1204	6878
149	1211	6862
150	1216	6838
151	1224	6831
152	1229	6806
153	1235	6788
154	1242	6774
155	1247	6750
156	1255	6741
157	1260	6717
158	1265	6691
159	1272	6682
160	1277	6656
161	1282	6631
162	1289	6620
163	1294	6597
164	1302	6590
165	1307	6570
166	1312	6549
167	1320	6539
168	1325	6516
169	1329	6492
170	1336	6480
171	1341	6460
172	1346	6437
173	1354	6432
174	1360	6414
175	1366	6397
176	1372	6382
177	1377	6362
178	1384	6349
179	1389	6331
180	1394	6310
181	1402	6302
182	1407	6281
183	1411	6260
184	1419	6252
185	1424	6233
186	1432	6226
187	1438	6212
188	1443	6194
189	1450	6185
190	1455	6165
191	1460	6145
192	1468	6142
193	1473	6123
194	1481	6115
195	1486	6098
196	1491	6079
197	1498	6068
198	1503	6052
199	1508	6033
200	1516	6027
201	1522	6012
202	1526	5994
203	1534	5985
204	1539	5970
205	1545	5957
206	1551	5943
207	1556	5927
208	1564	5921
209	1570	5907
210	1575	5890
211	1582	5880
212	1587	5863
213	1593	5852
214	1601	5847
215	1607	5833
216	1614	5824
217	1620	5814
218	1628	5805
219	1633	5791
220	1638	5775
221	1646	5770
222	1652	5756
223	1659	5747
224	1665	5736
225	1671	5722
226	1679	5718
227	1684	5702
228	1689	5688
229	1697	5682
230	1703	5671
231	1711	5667
232	1718	5655
233	1725	5648
234	1731	5635
235	1736	5621
236	1745	5618
237	1751	5607
238	1758	5600
239	1764	5588
240	1769	5573
241	1778	5570
242	1784	5557
243	1790	5547
244	1796	5535
245	1802	5523
246	1809	5516
247	1815	5505
248	1822	5496
249	1830	5492
250	1836	5481
251	1843	5472
252	1849	5459
253	1855	5449
254	1861	5438
255	1866	5425
256	1873	5416
257	1879	5405
258	1889	5404
259	1894	5392
260	1899	5379
261	1908	5376
262	1914	5364
